Song ID,Song Name,Link,Music Plat.,Artist Name,Artist Link,Artist ID,GD Downloadable State,UnscoutedSongIDs,NCS IDs,CHOMPO IDs,Total Rated Levels,Hyperlinked Name,Hyperlinked Username,Missing Song Detector
4622,Static SFX,https://drive.google.com/file/d/16GTQcnvro-rje9Br6XswKjk0JzGxTPCf/view,,yamijoku,https://yamijoku.newgrounds.com,NG549415,4622,904092,10009961,10012885,1,Static SFX,yamijoku,
4646,Mindless,https://www.newgrounds.com/audio/listen/4646,,Xager,https://Xager.newgrounds.com,NG627125,,912273,10009962,10012886,1,Mindless,Xager,
5252,dont do drugs men...,https://www.newgrounds.com/audio/listen/5252,,wolffy,https://wolffy.newgrounds.com,NG695584,,930759,10009963,10012887,0,dont do drugs men...,wolffy,
5437,Blue Sky,https://www.newgrounds.com/audio/listen/5437,,ParagonX9,https://ParagonX9.newgrounds.com,NG198486,,933002,10009964,10012888,3,Blue Sky,ParagonX9,
6222,MK64 - Rainbow Road ( RMX9 ),https://www.newgrounds.com/audio/listen/6222,,ParagonX9,https://ParagonX9.newgrounds.com,NG198486,,935996,10009965,10012889,1,MK64 - Rainbow Road ( RMX9 ),ParagonX9,
6363,blitzkriegbop,https://www.newgrounds.com/audio/listen/6363,,SpinTolk,https://SpinTolk.newgrounds.com,NG673962,,951570,10009966,10012890,1,blitzkriegbop,SpinTolk,
6366,Cliche-Techno,https://www.newgrounds.com/audio/listen/6366,,Boron,https://Boron.newgrounds.com,NG725707,,968817,10009967,10012891,1,Cliche-Techno,Boron,
6664,DC Techno Loop,https://www.newgrounds.com/audio/listen/6664,,MonsterMunchClock,https://MonsterMunchClock.newgrounds.com,NG510104,,998946,10009968,10012892,1,DC Techno Loop,MonsterMunchClock,
6767,In A Van Down By The River,https://www.newgrounds.com/audio/listen/6767,,Whirlguy,https://Whirlguy.newgrounds.com,NG648043,,999971,10009969,10012893,1,In A Van Down By The River,Whirlguy,
8762,Elton,https://www.newgrounds.com/audio/listen/8762,,blarowe,https://blarowe.newgrounds.com,NG677840,,1022162,10009970,10012894,1,Elton,blarowe,
9031,Mario Flying Cap Remix,https://www.newgrounds.com/audio/listen/9031,,HouseMasta,https://HouseMasta.newgrounds.com,NG733616,,1098233,10009971,10012895,2,Mario Flying Cap Remix,HouseMasta,
9209,Pokemon Battle,https://www.newgrounds.com/audio/listen/9209,,ChEsDeRmAn,https://ChEsDeRmAn.newgrounds.com,NG395224,,1113855,10009972,10012896,1,Pokemon Battle,ChEsDeRmAn,
9292,Sonic Heroes | Hang Castle,https://www.newgrounds.com/audio/listen/9292,,ChEsDeRmAn,https://ChEsDeRmAn.newgrounds.com,NG395224,,1126904,10009973,10012897,1,Sonic Heroes | Hang Castle,ChEsDeRmAn,
9409,Mario 64 Menu Screen Remix,https://www.newgrounds.com/audio/listen/9409,,HouseMasta,https://HouseMasta.newgrounds.com,NG733616,,1135068,10009974,10012898,1,Mario 64 Menu Screen Remix,HouseMasta,
9611,MK64 - Rainbow Destructor,https://www.newgrounds.com/audio/listen/9611,,ParagonX9,https://ParagonX9.newgrounds.com,NG198486,,1135860,10009975,10012899,3,MK64 - Rainbow Destructor,ParagonX9,
9621,pink floyd - money,https://www.newgrounds.com/audio/listen/9621,,stumyster666,https://stumyster666.newgrounds.com,NG655975,,1183767,10009976,10012900,1,pink floyd - money,stumyster666,
10102,rasp,https://www.newgrounds.com/audio/listen/10102,,MrCarmine,https://MrCarmine.newgrounds.com,NG172348,,1209873,10009977,10012901,1,rasp,MrCarmine,
10463,My Ball's Itch,https://www.newgrounds.com/audio/listen/10463,,FiretruckRob,https://FiretruckRob.newgrounds.com,NG420874,,1212799,10009978,10012902,2,My Ball's Itch,FiretruckRob,
11853,-sunrise-,https://www.newgrounds.com/audio/listen/11853,,Waterflame,https://Waterflame.newgrounds.com,NG489978,,1218001,10009979,10012903,1,-sunrise-,Waterflame,
12306,Bowser the Shredder || Mario64,https://www.newgrounds.com/audio/listen/12306,,GS-Screamer,https://GS-Screamer.newgrounds.com,NG699725,,1228671,10009980,10012904,1,Bowser the Shredder || Mario64,GS-Screamer,
12345,Echo Temple (ambient excerpt),https://www.newgrounds.com/audio/listen/12345,,Hound-Of-Winter,https://Hound-Of-Winter.newgrounds.com,NG599520,,1236880,10009981,10012905,1,Echo Temple (ambient excerpt),Hound-Of-Winter,
12922,ParagonX9 - Chaoz Devotion,https://www.newgrounds.com/audio/listen/12922,,ParagonX9,https://ParagonX9.newgrounds.com,NG198486,,1245914,10009982,10012906,6,ParagonX9 - Chaoz Devotion,ParagonX9,
13445,Mario Bros. Wah Pipes loop,https://www.newgrounds.com/audio/listen/13445,,Openwounds,https://Openwounds.newgrounds.com,NG413821,,1251835,10009983,10012907,1,Mario Bros. Wah Pipes loop,Openwounds,
14496,ParagonX9 - Neutralized,https://www.newgrounds.com/audio/listen/14496,,ParagonX9,https://ParagonX9.newgrounds.com,NG198486,,1279499,10009984,10012908,1,ParagonX9 - Neutralized,ParagonX9,
